mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,sampleRate,bitDepth,fileLength,numChannels,favorite,mediaComments
MC-002_20240229_160000.WAV,MC-002,activityDetection,2024-02-29T16:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_160000.WAV,False,MC-002_20240229_160000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_163000.WAV,MC-002,activityDetection,2024-02-29T16:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_163000.WAV,False,MC-002_20240229_163000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_170000.WAV,MC-002,activityDetection,2024-02-29T17:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_170000.WAV,False,MC-002_20240229_170000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_173000.WAV,MC-002,activityDetection,2024-02-29T17:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_173000.WAV,False,MC-002_20240229_173000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_180000.WAV,MC-002,activityDetection,2024-02-29T18:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_180000.WAV,False,MC-002_20240229_180000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_183000.WAV,MC-002,activityDetection,2024-02-29T18:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_183000.WAV,False,MC-002_20240229_183000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_190000.WAV,MC-002,activityDetection,2024-02-29T19:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_190000.WAV,False,MC-002_20240229_190000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_193000.WAV,MC-002,activityDetection,2024-02-29T19:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_193000.WAV,False,MC-002_20240229_193000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_200000.WAV,MC-002,activityDetection,2024-02-29T20:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_200000.WAV,False,MC-002_20240229_200000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_203000.WAV,MC-002,activityDetection,2024-02-29T20:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_203000.WAV,False,MC-002_20240229_203000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_210000.WAV,MC-002,activityDetection,2024-02-29T21:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_210000.WAV,False,MC-002_20240229_210000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_213000.WAV,MC-002,activityDetection,2024-02-29T21:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_213000.WAV,False,MC-002_20240229_213000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_220000.WAV,MC-002,activityDetection,2024-02-29T22:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_220000.WAV,False,MC-002_20240229_220000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_223000.WAV,MC-002,activityDetection,2024-02-29T22:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_223000.WAV,False,MC-002_20240229_223000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_230000.WAV,MC-002,activityDetection,2024-02-29T23:00:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_230000.WAV,False,MC-002_20240229_230000.WAV,audio/WAV,48000,16,60.0,1,,
MC-002_20240229_233000.WAV,MC-002,activityDetection,2024-02-29T23:30:00-05:00,/Volumes/lacie_macosx/github/pamflow_tutorial_data/sample_audios/MC-002/MC-002_20240229_233000.WAV,False,MC-002_20240229_233000.WAV,audio/WAV,48000,16,60.0,1,,
